702	,	0.00280491,	0.00196344,	0.000841474
708	,	0.000226833,	0.000158783,	6.80499e-05
714	,	0.000132689,	9.28822e-05,	3.98067e-05
720	,	0.000237301,	0.00016611,	7.11902e-05
726	,	0.000212077,	0.000148454,	6.36232e-05
732	,	0.000222258,	0.000155581,	6.66774e-05
738	,	0.000107852,	7.54961e-05,	3.23555e-05
744	,	0.000332741,	0.000232919,	9.98224e-05
750	,	0.341417,	0.238992,	0.102425
756	,	0.00106081,	0.00074257,	0.000318244
762	,	0.0871383,	0.0609968,	0.0261415
768	,	0.000128009,	8.96062e-05,	3.84026e-05
774	,	0.000279346,	0.000195543,	8.38039e-05
780	,	0.000261865,	0.000183305,	7.85594e-05
786	,	0.000587506,	0.000411254,	0.000176252
792	,	0.0005401,	0.00037807,	0.00016203
798	,	0.000943466,	0.000660427,	0.00028304
804	,	0.00129575,	0.000907025,	0.000388725
810	,	0.000888903,	0.000622232,	0.000266671
816	,	0.000101756,	7.12295e-05,	3.05269e-05
822	,	0.000101138,	7.07969e-05,	3.03415e-05
828	,	0.000152847,	0.000106993,	4.5854e-05
834	,	0.000118602,	8.30211e-05,	3.55805e-05
840	,	0.000221718,	0.000155203,	6.65154e-05
846	,	0.000253046,	0.000177132,	7.59137e-05
852	,	0.000438845,	0.000307192,	0.000131654
858	,	0.00129725,	0.000908078,	0.000389176
864	,	0.000367525,	0.000257268,	0.000110258
870	,	3.05321e-05,	2.13725e-05,	9.15964e-06
876	,	4.75464e-05,	3.32825e-05,	1.42639e-05
882	,	5.98759e-05,	4.19131e-05,	1.79628e-05
888	,	9.23765e-05,	6.46635e-05,	2.77129e-05
894	,	0.000199749,	0.000139825,	5.99248e-05
900	,	9.08409e-05,	6.35886e-05,	2.72523e-05
906	,	9.27815e-05,	6.4947e-05,	2.78344e-05
912	,	0.000529759,	0.000370831,	0.000158928
918	,	0.000360826,	0.000252578,	0.000108248
924	,	6.77253e-05,	4.74077e-05,	2.03176e-05
930	,	3.09822e-05,	2.16875e-05,	9.29466e-06
936	,	4.22862e-05,	2.96004e-05,	1.26859e-05
942	,	8.4706e-05,	5.92942e-05,	2.54118e-05
948	,	0.000115421,	8.07949e-05,	3.46264e-05
954	,	0.000152334,	0.000106634,	4.57002e-05
960	,	0.000399669,	0.000279768,	0.000119901
966	,	0.000173666,	0.000121566,	5.20999e-05
972	,	0.000249727,	0.000174809,	7.49182e-05
978	,	0.115183,	0.0806278,	0.0345548
984	,	0.00010174,	7.12178e-05,	3.05219e-05
990	,	0.000388782,	0.000272148,	0.000116635
996	,	0.0004683,	0.00032781,	0.00014049
1002	,	0.000877237,	0.000614066,	0.000263171
1008	,	0.0011262,	0.000788342,	0.000337861
1014	,	0.00163952,	0.00114766,	0.000491855
1020	,	0.00230716,	0.00161501,	0.000692148
1026	,	0.0016566,	0.00115962,	0.00049698
1032	,	0.000183488,	0.000128441,	5.50463e-05
1038	,	0.000227486,	0.00015924,	6.82458e-05
1044	,	0.000488542,	0.000341979,	0.000146563
1050	,	0.000592627,	0.000414839,	0.000177788
1056	,	0.0013271,	0.00092897,	0.00039813
1062	,	0.00103442,	0.000724096,	0.000310327
1068	,	0.00104129,	0.000728906,	0.000312388
1074	,	0.00203227,	0.00142259,	0.00060968
1080	,	0.00082586,	0.000578102,	0.000247758
1086	,	0.000256774,	0.000179742,	7.70321e-05
1092	,	0.000157849,	0.000110494,	4.73548e-05
1098	,	0.000148927,	0.000104249,	4.4678e-05
1104	,	5.73152e-05,	4.01206e-05,	1.71946e-05
1110	,	4.29134e-05,	3.00394e-05,	1.2874e-05
1116	,	1.10826e-05,	7.75782e-06,	3.32478e-06
1122	,	1.83276e-05,	1.28293e-05,	5.49827e-06
1128	,	0,	0,	0
1134	,	0,	0,	0
1140	,	0,	0,	0
1146	,	5.27268e-06,	3.69087e-06,	1.5818e-06
1152	,	3.14427e-05,	2.20099e-05,	9.43282e-06
1158	,	3.67438e-05,	2.57207e-05,	1.10231e-05
1164	,	1.81829e-05,	1.2728e-05,	5.45486e-06
1170	,	1.82886e-05,	1.28021e-05,	5.48659e-06
1176	,	0,	0,	0
1182	,	0.00313819,	0.00219673,	0.000941457
1188	,	0,	0,	0
1194	,	6.09983e-05,	4.26988e-05,	1.82995e-05
1200	,	1.16785e-05,	8.17493e-06,	3.50354e-06
1206	,	4.07186e-05,	2.8503e-05,	1.22156e-05
1212	,	0.00018871,	0.000132097,	5.66131e-05
1218	,	0.000771445,	0.000540012,	0.000231434
1224	,	0.000889976,	0.000622983,	0.000266993
1230	,	0.00120713,	0.000844994,	0.00036214
1236	,	4.42064,	3.09445,	1.32619
1242	,	0.00121894,	0.000853259,	0.000365682
1248	,	0.00029922,	0.000209454,	8.97661e-05
1254	,	0.000239027,	0.000167319,	7.17081e-05
1260	,	0.000451506,	0.000316054,	0.000135452
1266	,	0.00028772,	0.000201404,	8.63159e-05
1272	,	0.000170552,	0.000119387,	5.11657e-05
