6	,	0,	0
12	,	0,	0
18	,	0,	0
24	,	0,	0
30	,	0,	0
36	,	0,	0
42	,	0,	0
48	,	2.90238e-05,	1.24388e-05
54	,	5.65505e-05,	2.42359e-05
60	,	0,	0
66	,	0,	0
72	,	0,	0
78	,	0.0156781,	0.00671918
84	,	0.0364457,	0.0156196
90	,	0.0441499,	0.0189214
96	,	0.05473,	0.0234557
102	,	0.0355079,	0.0152177
108	,	0.0153604,	0.00658301
114	,	0.120532,	0.0516566
120	,	0.00684814,	0.00293492
126	,	0.00894143,	0.00383204
132	,	0.02449,	0.0104957
138	,	0.0280799,	0.0120343
144	,	0.0270291,	0.0115839
150	,	0.0365807,	0.0156774
156	,	0.0290672,	0.0124574
162	,	0.0188195,	0.0080655
168	,	0.0186126,	0.00797682
174	,	0.0121106,	0.00519024
180	,	0.014655,	0.00628073
186	,	0.020015,	0.00857784
192	,	0.0301194,	0.0129083
198	,	0.0313673,	0.0134431
204	,	0.0259913,	0.0111391
210	,	0.015297,	0.00655585
216	,	0.00543524,	0.00232939
222	,	0.0100307,	0.00429885
228	,	0.00715351,	0.00306579
234	,	0.00562191,	0.00240939
240	,	0.00791724,	0.0033931
246	,	0.0224559,	0.00962394
252	,	0.0188405,	0.00807452
258	,	0.117359,	0.0502966
264	,	0.00972909,	0.00416961
270	,	0.00276277,	0.00118405
276	,	0.00433534,	0.001858
282	,	0.00285058,	0.00122168
288	,	0.00109336,	0.000468582
294	,	0.00629845,	0.00269934
300	,	0.000776773,	0.000332903
306	,	3.39218e-05,	1.45379e-05
312	,	0.0955736,	0.0409601
318	,	0.00632643,	0.00271133
324	,	0.0116816,	0.00500641
330	,	0.0728654,	0.031228
336	,	0.00638152,	0.00273494
342	,	0.0123133,	0.00527714
348	,	0.0245849,	0.0105364
354	,	0.0184002,	0.00788581
360	,	0.000557741,	0.000239032
366	,	4.37785e-05,	1.87613e-05
372	,	0.0991409,	0.042489
378	,	2.21462e-05,	9.49125e-06
384	,	5.08051,	2.15915
390	,	0.00685848,	0.00293935
396	,	9.50476e-06,	4.07347e-06
402	,	6.91637e-06,	2.96416e-06
408	,	0,	0
414	,	0,	0
420	,	0,	0
426	,	0.0102319,	0.0043851
432	,	0,	0
438	,	0,	0
444	,	0,	0
450	,	0,	0
456	,	0,	0
462	,	0,	0
468	,	0,	0
474	,	0,	0
480	,	4.11641e-06,	1.76418e-06
486	,	5.19393e-05,	2.22597e-05
492	,	8.27354e-06,	3.5458e-06
498	,	1.46455e-05,	6.27664e-06
504	,	1.65756e-05,	7.10384e-06
510	,	1.25338e-05,	5.37162e-06
516	,	6.68775e-06,	2.86618e-06
522	,	5.9923e-06,	2.56813e-06
528	,	0.016261,	0.006969
534	,	0.0627319,	0.0268851
540	,	3.89537e-05,	1.66945e-05
546	,	9.16666e-06,	3.92857e-06
552	,	1.75089e-05,	7.50382e-06
558	,	0.00245965,	0.00105413
564	,	0.00267023,	0.00114438
570	,	0.0018526,	0.000793972
576	,	0.00104648,	0.000448491
582	,	0.00100446,	0.000430484
588	,	0.00019052,	8.16516e-05
594	,	0.000160352,	6.87222e-05
600	,	1.71842e-05,	7.36466e-06
606	,	5.90138e-05,	2.52916e-05
612	,	9.99056e-05,	4.28167e-05
618	,	0.00280327,	0.0012014
624	,	0.00471623,	0.00202124
630	,	0.0180608,	0.00774034
636	,	0.0114438,	0.0049045
642	,	0.00564773,	0.00242046
