1	,	0,	0,	0
2	,	0,	0,	0
3	,	0,	0,	0
4	,	0,	0,	0
5	,	0,	0,	0
6	,	0,	0,	0
7	,	0,	0,	0
8	,	0.00171481,	0.00120037,	0.000514443
9	,	0,	0,	0
10	,	0,	0,	0
11	,	0,	0,	0
12	,	0,	0,	0
13	,	0,	0,	0
14	,	0,	0,	0
15	,	0,	0,	0
16	,	0,	0,	0
17	,	0.00266337,	0.00186436,	0.000799011
18	,	0,	0,	0
19	,	0,	0,	0
20	,	0,	0,	0
21	,	0,	0,	0
22	,	0,	0,	0
23	,	0,	0,	0
24	,	0,	0,	0
25	,	0,	0,	0
26	,	0,	0,	0
27	,	0,	0,	0
28	,	0,	0,	0
29	,	0,	0,	0
30	,	0,	0,	0
31	,	0,	0,	0
32	,	0,	0,	0
33	,	4.6705e-12,	3.26935e-12,	1.40115e-12
34	,	0,	0,	0
35	,	0.000456302,	0.000319411,	0.00013689
36	,	0,	0,	0
37	,	5.03638e-07,	3.52547e-07,	1.51092e-07
38	,	0,	0,	0
39	,	0,	0,	0
40	,	0,	0,	0
41	,	0,	0,	0
42	,	0,	0,	0
43	,	0,	0,	0
44	,	7.61913e-06,	5.33339e-06,	2.28574e-06
45	,	0,	0,	0
46	,	0,	0,	0
47	,	0,	0,	0
48	,	2.02799e-06,	1.4196e-06,	6.08398e-07
49	,	2.13174e-06,	1.49222e-06,	6.39523e-07
50	,	2.31266e-06,	1.61886e-06,	6.93799e-07
51	,	0,	0,	0
52	,	0,	0,	0
53	,	0,	0,	0
54	,	0,	0,	0
55	,	0,	0,	0
56	,	0,	0,	0
57	,	0,	0,	0
58	,	0,	0,	0
59	,	0,	0,	0
60	,	0,	0,	0
61	,	0,	0,	0
62	,	0,	0,	0
63	,	0,	0,	0
64	,	0,	0,	0
65	,	0,	0,	0
66	,	0,	0,	0
67	,	2.32491e-06,	1.62744e-06,	6.97474e-07
68	,	3.18727e-06,	2.23109e-06,	9.56181e-07
69	,	3.50025e-06,	2.45018e-06,	1.05008e-06
70	,	1.26968e-05,	8.88774e-06,	3.80903e-06
