DepthOverDB, 	ErosionPotential
0.289,	-12.0375
0.29,	-12.0261
0.291,	-12.0146
0.292,	-12.0032
0.293,	-11.9918
0.294,	-11.9804
0.295,	-11.9689
0.296,	-11.9575
0.297,	-11.9461
0.298,	-11.9136
0.299,	-11.8693
0.3,	-11.825
0.301,	-11.7807
0.302,	-11.7364
0.303,	-11.6921
0.304,	-11.6479
0.305,	-11.6036
0.306,	-11.5593
0.307,	-11.515
0.308,	-11.4707
0.309,	-11.4265
0.31,	-11.3822
0.311,	-11.3379
0.312,	-11.2936
0.313,	-11.2493
0.314,	-11.2051
0.315,	-11.1608
0.316,	-11.1165
0.317,	-11.0722
0.318,	-11.0279
0.319,	-10.9837
0.32,	-10.9394
0.321,	-10.8951
0.322,	-10.8508
0.323,	-10.8065
0.324,	-10.7623
0.325,	-10.718
0.326,	-10.6737
0.327,	-10.6294
0.328,	-10.5851
0.329,	-10.5409
0.33,	-10.4966
0.331,	-10.4523
0.332,	-10.408
0.333,	-10.3637
0.334,	-10.3194
0.335,	-10.2752
0.336,	-10.2309
0.337,	-10.1866
0.338,	-10.1423
0.339,	-10.098
0.34,	-10.0538
0.341,	-10.0095
0.342,	-9.9652
0.343,	-9.92092
0.344,	-9.87664
0.345,	-9.83236
0.346,	-9.78808
0.347,	-9.7438
0.348,	-9.69952
0.349,	-9.65524
0.35,	-9.61096
0.351,	-9.56668
0.352,	-9.5224
0.353,	-9.47812
0.354,	-9.43384
0.355,	-9.38956
0.356,	-9.34528
0.357,	-9.30099
0.358,	-9.25671
0.359,	-9.21243
0.36,	-9.16815
0.361,	-9.12387
0.362,	-9.07959
0.363,	-9.03531
0.364,	-8.99103
0.365,	-8.94675
0.366,	-8.90247
0.367,	-8.85819
0.368,	-8.81391
0.369,	-8.76963
0.37,	-8.72535
0.371,	-8.68107
0.372,	-8.63679
0.373,	-8.5925
0.374,	-8.54822
0.375,	-8.50394
0.376,	-8.45966
0.377,	-8.41538
0.378,	-8.3711
0.379,	-8.32682
0.38,	-8.28254
0.381,	-8.23826
0.382,	-8.19398
0.383,	-8.1497
0.384,	-8.10542
0.385,	-8.06114
0.386,	-8.01686
0.387,	-7.97258
0.388,	-7.92829
0.389,	-7.88401
0.39,	-7.83973
0.391,	-7.79545
0.392,	-7.75117
0.393,	-7.70689
0.394,	-7.66261
0.395,	-7.61833
0.396,	-7.57405
0.397,	-7.52977
0.398,	-7.48549
0.399,	-7.44121
0.4,	-7.42813
0.401,	-7.43922
0.402,	-7.45031
0.403,	-7.46141
0.404,	-7.4725
0.405,	-7.4836
0.406,	-7.49469
0.407,	-7.50579
0.408,	-7.51688
0.409,	-7.52797
0.41,	-7.53907
0.411,	-7.55016
0.412,	-7.56126
0.413,	-7.57235
0.414,	-7.58345
0.415,	-7.59454
0.416,	-7.60563
0.417,	-7.61673
0.418,	-7.62782
0.419,	-7.63892
0.42,	-7.65001
0.421,	-7.66111
0.422,	-7.6722
0.423,	-7.68329
0.424,	-7.69439
0.425,	-7.70548
0.426,	-7.71658
0.427,	-7.72767
0.428,	-7.73877
0.429,	-7.74986
0.43,	-7.76095
0.431,	-7.77205
0.432,	-7.78314
0.433,	-7.79424
0.434,	-7.80533
0.435,	-7.81643
0.436,	-7.82752
0.437,	-7.83861
0.438,	-7.84971
0.439,	-7.8608
0.44,	-7.8719
0.441,	-7.88299
0.442,	-7.89409
0.443,	-7.90518
0.444,	-7.91627
0.445,	-7.92737
0.446,	-7.93846
0.447,	-7.94956
0.448,	-7.96065
0.449,	-7.97175
0.45,	-7.98284
0.451,	-7.99393
0.452,	-8.00503
0.453,	-8.01612
0.454,	-8.02722
0.455,	-8.03831
0.456,	-8.0494
0.457,	-8.0605
0.458,	-8.07159
0.459,	-8.08269
0.46,	-8.09378
0.461,	-8.10488
0.462,	-8.11597
0.463,	-8.12706
0.464,	-8.13816
0.465,	-8.14925
0.466,	-8.16035
0.467,	-8.17144
0.468,	-8.18254
0.469,	-8.19363
0.47,	-8.20472
0.471,	-8.21582
0.472,	-8.22691
0.473,	-8.23801
0.474,	-8.2491
0.475,	-8.2602
0.476,	-8.27129
0.477,	-8.28238
0.478,	-8.29348
0.479,	-8.30457
0.48,	-8.31567
0.481,	-8.32676
0.482,	-8.33786
0.483,	-8.34895
0.484,	-8.36004
0.485,	-8.37114
0.486,	-8.38223
0.487,	-8.39333
0.488,	-8.40442
0.489,	-8.41552
0.49,	-8.42661
0.491,	-8.4377
0.492,	-8.4488
0.493,	-8.45989
0.494,	-8.47099
0.495,	-8.48208
0.496,	-8.49318
0.497,	-8.50427
0.498,	-8.51536
0.499,	-8.52646
0.5,	-8.53755
0.501,	-8.52939
0.502,	-8.52051
0.503,	-8.51163
0.504,	-8.50276
0.505,	-8.49388
0.506,	-8.48501
0.507,	-8.47613
0.508,	-8.46726
0.509,	-8.45838
0.51,	-8.44951
0.511,	-8.44063
0.512,	-8.43176
0.513,	-8.42288
0.514,	-8.41401
0.515,	-8.40513
0.516,	-8.39625
0.517,	-8.38738
0.518,	-8.3785
0.519,	-8.36963
0.52,	-8.36075
0.521,	-8.35188
0.522,	-8.343
0.523,	-8.33413
0.524,	-8.32525
0.525,	-8.31638
0.526,	-8.3075
0.527,	-8.29862
0.528,	-8.28975
0.529,	-8.28087
0.53,	-8.272
0.531,	-8.26312
0.532,	-8.25425
0.533,	-8.24537
0.534,	-8.2365
0.535,	-8.22762
0.536,	-8.21875
0.537,	-8.20987
0.538,	-8.201
0.539,	-8.19212
0.54,	-8.18324
