6	,	0,	0,	0
12	,	0,	0.159105,	0
18	,	0,	0.141323,	0
24	,	0,	0.0662209,	0
30	,	0,	3.15971,	0
36	,	0,	1.3865,	0
42	,	0,	1.77469,	0
48	,	0,	0,	0
54	,	0,	1.63284,	0
60	,	0,	0.420359,	0
66	,	0,	3.09958,	0
72	,	0,	1.94032,	0
78	,	0,	5.79052,	0
84	,	0,	18.5685,	0
90	,	0,	5.61765,	0
96	,	0,	8.46223,	0
102	,	0,	0.340879,	0
108	,	0,	0.107544,	0
114	,	0,	1.12784,	0
120	,	0,	1.37557,	0
126	,	0,	0.0277221,	0
132	,	0,	0.611399,	0
138	,	0,	5.96928,	0
144	,	0,	4.01403,	0
150	,	0,	1.87884,	0
156	,	0,	0.162067,	0
162	,	0,	7.5822,	0
168	,	0,	0.236508,	0
174	,	0,	2.76148,	0
180	,	0,	0.513041,	0
186	,	0,	3.58495,	0
192	,	0,	107.994,	0
198	,	0,	27.0573,	0
204	,	0,	57.4685,	0
210	,	0,	107.493,	0
216	,	0,	17.6048,	0
222	,	0,	52.7037,	0
228	,	0,	97.9284,	0
234	,	0,	87.0394,	0
240	,	0,	192.902,	0
246	,	0,	167.696,	0
252	,	0,	83.5732,	0
258	,	0,	115.512,	0
264	,	0,	225.422,	0
270	,	0,	222.983,	0
276	,	0,	105.77,	0
282	,	0,	101.269,	0
288	,	0,	235.678,	0
294	,	0,	171.583,	0
300	,	0,	142.7,	0
306	,	0,	116.161,	0
312	,	0,	178.942,	0
318	,	0,	44.1851,	0
324	,	0,	120.103,	0
330	,	0,	144.954,	0
336	,	0,	87.776,	0
342	,	0,	185.649,	0
348	,	0,	68.1359,	0
354	,	0,	104.997,	0
360	,	0,	103.949,	0
366	,	0,	83.2215,	0
372	,	0,	202.529,	0
378	,	0,	134.358,	0
384	,	0,	111.322,	0
390	,	0,	115.59,	0
396	,	0,	69.4672,	0
402	,	0,	56.5219,	0
408	,	0,	167.481,	0
414	,	0,	191.241,	0
420	,	0,	109.115,	0
426	,	0,	102.088,	0
432	,	0,	79.1588,	0
438	,	0,	49.9202,	0
444	,	0,	106.52,	0
450	,	0,	47.5088,	0
456	,	0,	60.8274,	0
462	,	0,	50.5342,	0
468	,	0,	75.7861,	0
474	,	0,	228.745,	0
480	,	0,	124.946,	0
486	,	0,	162.599,	0
492	,	0,	141.874,	0
498	,	0,	121.193,	0
504	,	0,	140.329,	0
510	,	0,	218.022,	0
516	,	0,	228.435,	0
522	,	0,	154.419,	0
528	,	0,	191.628,	0
534	,	0,	142.727,	0
540	,	0,	425.81,	0
546	,	0,	136.431,	0
552	,	0,	206.122,	0
558	,	0,	215.377,	0
564	,	0,	32.7496,	0
570	,	0,	87.357,	0
576	,	0,	228.655,	0
582	,	0,	151.799,	0
588	,	0,	221.344,	0
594	,	0,	256.076,	0
600	,	0,	169.424,	0
606	,	0,	164.824,	0
612	,	0,	213.229,	0
618	,	0,	216.372,	0
624	,	0,	277.644,	0
630	,	0,	90.9458,	0
636	,	0,	151.99,	0
642	,	0,	126.305,	0
648	,	0,	128.588,	0
654	,	0,	211.606,	0
660	,	0,	151.753,	0
666	,	0,	195.531,	0
672	,	0,	188.876,	0
678	,	0,	179.423,	0
684	,	0,	175.549,	0
690	,	0,	236.811,	0
696	,	0,	374.909,	0
702	,	0,	194.845,	0
708	,	0,	248.284,	0
714	,	0,	124.884,	0
720	,	0,	124.884,	0
